tensor([10.6872], device='cuda:0')
tensor([10.1125], device='cuda:0')
tensor([9.8249], device='cuda:0')
tensor([9.7932], device='cuda:0')
tensor([8.7170], device='cuda:0')
tensor([4.9627], device='cuda:0')
tensor([2.1333], device='cuda:0')
tensor([1.7293], device='cuda:0')
tensor([1.7093], device='cuda:0')
tensor([1.4466], device='cuda:0')
tensor([1.4466], device='cuda:0')
tensor([1.4591], device='cuda:0')
tensor([1.4540], device='cuda:0')
tensor([1.4478], device='cuda:0')
tensor([1.4538], device='cuda:0')
tensor([1.4377], device='cuda:0')
tensor([1.4554], device='cuda:0')
tensor([1.4115], device='cuda:0')
tensor([1.4064], device='cuda:0')
tensor([1.3748], device='cuda:0')
tensor([1.3960], device='cuda:0')
tensor([1.3944], device='cuda:0')
tensor([1.4068], device='cuda:0')
tensor([1.3825], device='cuda:0')
tensor([1.3724], device='cuda:0')
tensor([1.3453], device='cuda:0')
tensor([1.3252], device='cuda:0')
tensor([1.3351], device='cuda:0')
tensor([1.3223], device='cuda:0')
tensor([1.3298], device='cuda:0')
tensor([1.3314], device='cuda:0')
tensor([1.3262], device='cuda:0')
tensor([1.3177], device='cuda:0')
tensor([1.2886], device='cuda:0')
tensor([1.2886], device='cuda:0')
tensor([1.2829], device='cuda:0')
tensor([1.2578], device='cuda:0')
tensor([1.2677], device='cuda:0')
tensor([1.2564], device='cuda:0')
tensor([1.2553], device='cuda:0')
tensor([1.2562], device='cuda:0')
tensor([1.2566], device='cuda:0')
tensor([1.2628], device='cuda:0')
tensor([1.2657], device='cuda:0')
tensor([1.2479], device='cuda:0')
tensor([1.2530], device='cuda:0')
tensor([1.2365], device='cuda:0')
tensor([1.2365], device='cuda:0')
tensor([1.2425], device='cuda:0')
tensor([1.2375], device='cuda:0')
tensor([1.2349], device='cuda:0')
tensor([1.2150], device='cuda:0')
tensor([1.2130], device='cuda:0')
tensor([1.2102], device='cuda:0')
tensor([1.1950], device='cuda:0')
tensor([1.1950], device='cuda:0')
tensor([1.1936], device='cuda:0')
tensor([1.1862], device='cuda:0')
tensor([1.1730], device='cuda:0')
tensor([1.1870], device='cuda:0')
tensor([1.1821], device='cuda:0')
tensor([1.1888], device='cuda:0')
tensor([1.1868], device='cuda:0')
tensor([1.1781], device='cuda:0')
tensor([1.1523], device='cuda:0')
tensor([1.1537], device='cuda:0')
tensor([1.1537], device='cuda:0')
tensor([1.1402], device='cuda:0')
tensor([1.1404], device='cuda:0')
tensor([1.1401], device='cuda:0')
tensor([1.1383], device='cuda:0')
tensor([1.1339], device='cuda:0')
tensor([1.1339], device='cuda:0')
tensor([1.1337], device='cuda:0')
tensor([1.1344], device='cuda:0')
tensor([1.1345], device='cuda:0')
tensor([1.1363], device='cuda:0')
tensor([1.1413], device='cuda:0')
tensor([1.1385], device='cuda:0')
tensor([1.1397], device='cuda:0')
tensor([1.1470], device='cuda:0')
tensor([1.1510], device='cuda:0')
tensor([1.1470], device='cuda:0')
tensor([1.1490], device='cuda:0')
tensor([1.1499], device='cuda:0')
tensor([1.1530], device='cuda:0')
tensor([1.1518], device='cuda:0')
tensor([1.1503], device='cuda:0')
tensor([1.1516], device='cuda:0')
tensor([1.1494], device='cuda:0')
tensor([1.1490], device='cuda:0')
tensor([1.1512], device='cuda:0')
tensor([1.1503], device='cuda:0')
tensor([1.1502], device='cuda:0')
tensor([1.1522], device='cuda:0')
tensor([1.1507], device='cuda:0')
tensor([1.1506], device='cuda:0')
tensor([1.1506], device='cuda:0')
tensor([1.1418], device='cuda:0')
tensor([1.1387], device='cuda:0')
tensor([1.1420], device='cuda:0')
tensor([1.1418], device='cuda:0')
tensor([1.1344], device='cuda:0')
tensor([1.1431], device='cuda:0')
tensor([1.1461], device='cuda:0')
tensor([1.1473], device='cuda:0')
tensor([1.1367], device='cuda:0')
tensor([1.1382], device='cuda:0')
tensor([1.1419], device='cuda:0')
tensor([1.1436], device='cuda:0')
tensor([1.1436], device='cuda:0')
tensor([1.1473], device='cuda:0')
tensor([1.1532], device='cuda:0')
tensor([1.1531], device='cuda:0')
tensor([1.1522], device='cuda:0')
tensor([1.1523], device='cuda:0')
tensor([1.1516], device='cuda:0')
tensor([1.1514], device='cuda:0')
tensor([1.1522], device='cuda:0')
tensor([1.1502], device='cuda:0')
tensor([1.1501], device='cuda:0')
tensor([1.1514], device='cuda:0')
tensor([1.1520], device='cuda:0')
tensor([1.1539], device='cuda:0')
tensor([1.1539], device='cuda:0')
tensor([1.1577], device='cuda:0')
tensor([1.1588], device='cuda:0')
tensor([1.1611], device='cuda:0')
tensor([1.1588], device='cuda:0')
tensor([1.1578], device='cuda:0')
tensor([1.1578], device='cuda:0')
tensor([1.1582], device='cuda:0')
tensor([1.1588], device='cuda:0')
tensor([1.1554], device='cuda:0')
tensor([1.1554], device='cuda:0')
tensor([1.1562], device='cuda:0')
tensor([1.1586], device='cuda:0')
tensor([1.1546], device='cuda:0')
tensor([1.1513], device='cuda:0')
tensor([1.1522], device='cuda:0')
tensor([1.1521], device='cuda:0')
tensor([1.1521], device='cuda:0')
tensor([1.1513], device='cuda:0')
tensor([1.1554], device='cuda:0')
tensor([1.1562], device='cuda:0')
tensor([1.1589], device='cuda:0')
tensor([1.1547], device='cuda:0')
tensor([1.1600], device='cuda:0')
tensor([1.1547], device='cuda:0')
tensor([1.1590], device='cuda:0')
tensor([1.1596], device='cuda:0')
tensor([1.1606], device='cuda:0')
tensor([1.1616], device='cuda:0')
tensor([1.1595], device='cuda:0')
tensor([1.1600], device='cuda:0')
tensor([1.1626], device='cuda:0')
tensor([1.1632], device='cuda:0')
tensor([1.1626], device='cuda:0')
tensor([1.1596], device='cuda:0')
tensor([1.1598], device='cuda:0')
tensor([1.1636], device='cuda:0')
tensor([1.1600], device='cuda:0')
tensor([1.1646], device='cuda:0')
tensor([1.1630], device='cuda:0')
tensor([1.1616], device='cuda:0')
tensor([1.1644], device='cuda:0')
tensor([1.1605], device='cuda:0')
tensor([1.1644], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1621], device='cuda:0')
tensor([1.1583], device='cuda:0')
tensor([1.1572], device='cuda:0')
tensor([1.1547], device='cuda:0')
tensor([1.1584], device='cuda:0')
tensor([1.1580], device='cuda:0')
tensor([1.1544], device='cuda:0')
tensor([1.1605], device='cuda:0')
tensor([1.1612], device='cuda:0')
tensor([1.1602], device='cuda:0')
tensor([1.1623], device='cuda:0')
tensor([1.1623], device='cuda:0')
tensor([1.1601], device='cuda:0')
tensor([1.1552], device='cuda:0')
tensor([1.1552], device='cuda:0')
tensor([1.1552], device='cuda:0')
tensor([1.1552], device='cuda:0')
tensor([1.1506], device='cuda:0')
tensor([1.1545], device='cuda:0')
tensor([1.1525], device='cuda:0')
tensor([1.1564], device='cuda:0')
tensor([1.1525], device='cuda:0')
tensor([1.1574], device='cuda:0')
tensor([1.1546], device='cuda:0')
tensor([1.1566], device='cuda:0')
tensor([1.1556], device='cuda:0')
tensor([1.1689], device='cuda:0')
tensor([1.1697], device='cuda:0')
tensor([1.1700], device='cuda:0')
tensor([1.1689], device='cuda:0')
tensor([1.1721], device='cuda:0')
tensor([1.1721], device='cuda:0')
tensor([1.1710], device='cuda:0')
tensor([1.1707], device='cuda:0')
tensor([1.1712], device='cuda:0')
tensor([1.1684], device='cuda:0')
tensor([1.1709], device='cuda:0')
tensor([1.1696], device='cuda:0')
tensor([1.1705], device='cuda:0')
tensor([1.1712], device='cuda:0')
tensor([1.1675], device='cuda:0')
tensor([1.1678], device='cuda:0')
tensor([1.1687], device='cuda:0')
tensor([1.1690], device='cuda:0')
tensor([1.1658], device='cuda:0')
tensor([1.1679], device='cuda:0')
tensor([1.1675], device='cuda:0')
tensor([1.1690], device='cuda:0')
tensor([1.1681], device='cuda:0')
tensor([1.1683], device='cuda:0')
tensor([1.1663], device='cuda:0')
tensor([1.1659], device='cuda:0')
tensor([1.1683], device='cuda:0')
tensor([1.1638], device='cuda:0')
tensor([1.1680], device='cuda:0')
tensor([1.1657], device='cuda:0')
tensor([1.1618], device='cuda:0')
tensor([1.1639], device='cuda:0')
tensor([1.1577], device='cuda:0')
tensor([1.1590], device='cuda:0')
tensor([1.1471], device='cuda:0')
tensor([1.1498], device='cuda:0')
tensor([1.1407], device='cuda:0')
tensor([1.1460], device='cuda:0')
tensor([1.1402], device='cuda:0')
tensor([1.1440], device='cuda:0')
tensor([1.1397], device='cuda:0')
tensor([1.1437], device='cuda:0')
tensor([1.1429], device='cuda:0')
tensor([1.1394], device='cuda:0')
tensor([1.1412], device='cuda:0')
tensor([1.1404], device='cuda:0')
tensor([1.1396], device='cuda:0')
tensor([1.1369], device='cuda:0')
tensor([1.1369], device='cuda:0')
tensor([1.1369], device='cuda:0')
tensor([1.1374], device='cuda:0')
tensor([1.1291], device='cuda:0')
tensor([1.1355], device='cuda:0')
tensor([1.1376], device='cuda:0')
tensor([1.1323], device='cuda:0')
tensor([1.1381], device='cuda:0')
tensor([1.1290], device='cuda:0')
tensor([1.1373], device='cuda:0')
tensor([1.1392], device='cuda:0')
tensor([1.1359], device='cuda:0')
tensor([1.1311], device='cuda:0')
tensor([1.1280], device='cuda:0')
tensor([1.1279], device='cuda:0')
tensor([1.1280], device='cuda:0')
tensor([1.1230], device='cuda:0')
tensor([1.1236], device='cuda:0')
tensor([1.1258], device='cuda:0')
tensor([1.1193], device='cuda:0')
tensor([1.1205], device='cuda:0')
tensor([1.1156], device='cuda:0')
tensor([1.1154], device='cuda:0')
tensor([1.1246], device='cuda:0')
tensor([1.1226], device='cuda:0')
tensor([1.1278], device='cuda:0')
tensor([1.1171], device='cuda:0')
tensor([1.1260], device='cuda:0')
tensor([1.1224], device='cuda:0')
tensor([1.1199], device='cuda:0')
tensor([1.1213], device='cuda:0')
tensor([1.1243], device='cuda:0')
tensor([1.1207], device='cuda:0')
tensor([1.1229], device='cuda:0')
tensor([1.1151], device='cuda:0')
tensor([1.1232], device='cuda:0')
tensor([1.1210], device='cuda:0')
tensor([1.1231], device='cuda:0')
tensor([1.1244], device='cuda:0')
tensor([1.1250], device='cuda:0')
tensor([1.1256], device='cuda:0')
tensor([1.1249], device='cuda:0')
tensor([1.1165], device='cuda:0')
tensor([1.1188], device='cuda:0')
tensor([1.1165], device='cuda:0')
tensor([1.1165], device='cuda:0')
tensor([1.1165], device='cuda:0')
tensor([1.1165], device='cuda:0')
tensor([1.1143], device='cuda:0')
tensor([1.1148], device='cuda:0')
tensor([1.1143], device='cuda:0')
tensor([1.1223], device='cuda:0')
tensor([1.1223], device='cuda:0')
tensor([1.1176], device='cuda:0')
tensor([1.1182], device='cuda:0')
tensor([1.1180], device='cuda:0')
tensor([1.1203], device='cuda:0')
tensor([1.1295], device='cuda:0')
tensor([1.1194], device='cuda:0')
tensor([1.1198], device='cuda:0')
tensor([1.1188], device='cuda:0')
tensor([1.1195], device='cuda:0')
tensor([1.1172], device='cuda:0')
tensor([1.1177], device='cuda:0')
tensor([1.1184], device='cuda:0')
tensor([1.1164], device='cuda:0')
tensor([1.1150], device='cuda:0')
tensor([1.1143], device='cuda:0')
tensor([1.1196], device='cuda:0')
tensor([1.1193], device='cuda:0')
tensor([1.1143], device='cuda:0')
tensor([1.1173], device='cuda:0')
tensor([1.1155], device='cuda:0')
tensor([1.1118], device='cuda:0')
tensor([1.1144], device='cuda:0')
tensor([1.1140], device='cuda:0')
tensor([1.1147], device='cuda:0')
tensor([1.1137], device='cuda:0')
tensor([1.1132], device='cuda:0')
tensor([1.1140], device='cuda:0')
tensor([1.1169], device='cuda:0')
tensor([1.1169], device='cuda:0')
tensor([1.1166], device='cuda:0')
tensor([1.1164], device='cuda:0')
tensor([1.1145], device='cuda:0')
tensor([1.1159], device='cuda:0')
tensor([1.1161], device='cuda:0')
tensor([1.1154], device='cuda:0')
tensor([1.1149], device='cuda:0')
tensor([1.1149], device='cuda:0')
tensor([1.1130], device='cuda:0')
tensor([1.1134], device='cuda:0')
tensor([1.1162], device='cuda:0')
