tensor([11.3054], device='cuda:0')
tensor([11.2911], device='cuda:0')
tensor([11.2590], device='cuda:0')
tensor([4.3479], device='cuda:0')
tensor([1.7102], device='cuda:0')
tensor([2.0743], device='cuda:0')
tensor([1.6155], device='cuda:0')
tensor([1.6353], device='cuda:0')
tensor([1.5971], device='cuda:0')
tensor([1.5838], device='cuda:0')
tensor([1.6055], device='cuda:0')
tensor([1.5466], device='cuda:0')
tensor([1.5624], device='cuda:0')
tensor([1.5808], device='cuda:0')
tensor([1.5587], device='cuda:0')
tensor([1.5471], device='cuda:0')
tensor([1.5604], device='cuda:0')
tensor([1.5604], device='cuda:0')
tensor([1.5513], device='cuda:0')
tensor([1.5604], device='cuda:0')
tensor([1.5480], device='cuda:0')
tensor([1.5372], device='cuda:0')
tensor([1.5341], device='cuda:0')
tensor([1.5258], device='cuda:0')
tensor([1.4949], device='cuda:0')
tensor([1.5136], device='cuda:0')
tensor([1.4622], device='cuda:0')
tensor([1.4303], device='cuda:0')
tensor([1.3808], device='cuda:0')
tensor([1.3786], device='cuda:0')
tensor([1.3822], device='cuda:0')
tensor([1.3826], device='cuda:0')
tensor([1.3612], device='cuda:0')
tensor([1.3299], device='cuda:0')
tensor([1.3159], device='cuda:0')
tensor([1.3228], device='cuda:0')
tensor([1.3093], device='cuda:0')
tensor([1.2773], device='cuda:0')
tensor([1.2805], device='cuda:0')
tensor([1.2751], device='cuda:0')
tensor([1.2509], device='cuda:0')
tensor([1.2414], device='cuda:0')
tensor([1.2390], device='cuda:0')
tensor([1.2401], device='cuda:0')
tensor([1.2406], device='cuda:0')
tensor([1.2218], device='cuda:0')
tensor([1.2149], device='cuda:0')
tensor([1.2199], device='cuda:0')
tensor([1.2165], device='cuda:0')
tensor([1.2248], device='cuda:0')
tensor([1.2279], device='cuda:0')
tensor([1.2292], device='cuda:0')
tensor([1.2307], device='cuda:0')
tensor([1.2314], device='cuda:0')
tensor([1.2359], device='cuda:0')
tensor([1.2306], device='cuda:0')
tensor([1.2293], device='cuda:0')
tensor([1.2263], device='cuda:0')
tensor([1.2293], device='cuda:0')
tensor([1.2129], device='cuda:0')
tensor([1.2150], device='cuda:0')
tensor([1.2050], device='cuda:0')
tensor([1.2045], device='cuda:0')
tensor([1.2033], device='cuda:0')
tensor([1.1866], device='cuda:0')
tensor([1.2037], device='cuda:0')
tensor([1.1858], device='cuda:0')
tensor([1.1843], device='cuda:0')
tensor([1.1825], device='cuda:0')
tensor([1.1674], device='cuda:0')
tensor([1.1685], device='cuda:0')
tensor([1.1554], device='cuda:0')
tensor([1.1624], device='cuda:0')
tensor([1.1612], device='cuda:0')
tensor([1.1565], device='cuda:0')
tensor([1.1549], device='cuda:0')
tensor([1.1454], device='cuda:0')
tensor([1.1483], device='cuda:0')
tensor([1.1380], device='cuda:0')
tensor([1.1356], device='cuda:0')
tensor([1.1295], device='cuda:0')
tensor([1.1267], device='cuda:0')
tensor([1.1184], device='cuda:0')
tensor([1.1140], device='cuda:0')
tensor([1.1195], device='cuda:0')
tensor([1.1195], device='cuda:0')
tensor([1.1178], device='cuda:0')
tensor([1.1228], device='cuda:0')
tensor([1.1194], device='cuda:0')
tensor([1.1196], device='cuda:0')
tensor([1.1153], device='cuda:0')
tensor([1.1151], device='cuda:0')
tensor([1.1180], device='cuda:0')
tensor([1.1180], device='cuda:0')
tensor([1.1141], device='cuda:0')
tensor([1.1137], device='cuda:0')
tensor([1.1117], device='cuda:0')
tensor([1.1138], device='cuda:0')
tensor([1.1156], device='cuda:0')
tensor([1.1156], device='cuda:0')
tensor([1.1157], device='cuda:0')
tensor([1.1180], device='cuda:0')
tensor([1.1184], device='cuda:0')
tensor([1.1187], device='cuda:0')
tensor([1.1168], device='cuda:0')
tensor([1.1177], device='cuda:0')
tensor([1.1214], device='cuda:0')
tensor([1.1179], device='cuda:0')
tensor([1.1187], device='cuda:0')
tensor([1.1187], device='cuda:0')
tensor([1.1191], device='cuda:0')
tensor([1.1187], device='cuda:0')
tensor([1.1165], device='cuda:0')
tensor([1.1161], device='cuda:0')
tensor([1.1168], device='cuda:0')
tensor([1.1164], device='cuda:0')
tensor([1.1180], device='cuda:0')
tensor([1.1180], device='cuda:0')
tensor([1.1175], device='cuda:0')
tensor([1.1161], device='cuda:0')
tensor([1.1175], device='cuda:0')
tensor([1.1199], device='cuda:0')
tensor([1.1170], device='cuda:0')
tensor([1.1142], device='cuda:0')
tensor([1.1142], device='cuda:0')
tensor([1.1155], device='cuda:0')
tensor([1.1152], device='cuda:0')
tensor([1.1146], device='cuda:0')
tensor([1.1148], device='cuda:0')
tensor([1.1159], device='cuda:0')
