tensor([6.4271], device='cuda:0')
tensor([6.4307], device='cuda:0')
tensor([6.3753], device='cuda:0')
tensor([6.2889], device='cuda:0')
tensor([6.2145], device='cuda:0')
tensor([6.0920], device='cuda:0')
tensor([6.0147], device='cuda:0')
tensor([5.9431], device='cuda:0')
tensor([5.9070], device='cuda:0')
tensor([5.8229], device='cuda:0')
tensor([5.7783], device='cuda:0')
tensor([5.7300], device='cuda:0')
tensor([5.6715], device='cuda:0')
tensor([5.6834], device='cuda:0')
tensor([5.5281], device='cuda:0')
tensor([5.4525], device='cuda:0')
tensor([5.4172], device='cuda:0')
tensor([5.4046], device='cuda:0')
tensor([5.3461], device='cuda:0')
tensor([5.3069], device='cuda:0')
tensor([5.2209], device='cuda:0')
tensor([5.1235], device='cuda:0')
tensor([4.9900], device='cuda:0')
tensor([4.8748], device='cuda:0')
tensor([4.6733], device='cuda:0')
tensor([4.4425], device='cuda:0')
tensor([4.3356], device='cuda:0')
tensor([3.8230], device='cuda:0')
tensor([3.5531], device='cuda:0')
tensor([3.2930], device='cuda:0')
tensor([3.2274], device='cuda:0')
tensor([3.0102], device='cuda:0')
tensor([2.9523], device='cuda:0')
tensor([2.8357], device='cuda:0')
tensor([2.7686], device='cuda:0')
tensor([2.7300], device='cuda:0')
tensor([2.5782], device='cuda:0')
tensor([2.3921], device='cuda:0')
tensor([2.1049], device='cuda:0')
tensor([2.0142], device='cuda:0')
tensor([1.9925], device='cuda:0')
tensor([1.9513], device='cuda:0')
tensor([1.9684], device='cuda:0')
tensor([1.9262], device='cuda:0')
tensor([1.8706], device='cuda:0')
tensor([1.8706], device='cuda:0')
tensor([1.8383], device='cuda:0')
tensor([1.8383], device='cuda:0')
tensor([1.7720], device='cuda:0')
tensor([1.7637], device='cuda:0')
tensor([1.7161], device='cuda:0')
tensor([1.6951], device='cuda:0')
tensor([1.6786], device='cuda:0')
tensor([1.6498], device='cuda:0')
tensor([1.6498], device='cuda:0')
tensor([1.6346], device='cuda:0')
tensor([1.6346], device='cuda:0')
tensor([1.6216], device='cuda:0')
tensor([1.6216], device='cuda:0')
tensor([1.5960], device='cuda:0')
tensor([1.5960], device='cuda:0')
tensor([1.5960], device='cuda:0')
tensor([1.5960], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
tensor([1.5894], device='cuda:0')
