tensor([9.0840], device='cuda:0')
tensor([8.2765], device='cuda:0')
tensor([7.7196], device='cuda:0')
tensor([7.7543], device='cuda:0')
tensor([8.2230], device='cuda:0')
tensor([4.6204], device='cuda:0')
tensor([3.8518], device='cuda:0')
tensor([2.4821], device='cuda:0')
tensor([1.7811], device='cuda:0')
tensor([1.7144], device='cuda:0')
tensor([1.3779], device='cuda:0')
tensor([1.6564], device='cuda:0')
tensor([1.6390], device='cuda:0')
tensor([1.3627], device='cuda:0')
tensor([1.3096], device='cuda:0')
tensor([1.2651], device='cuda:0')
tensor([1.2939], device='cuda:0')
tensor([1.2445], device='cuda:0')
tensor([1.2427], device='cuda:0')
tensor([1.1935], device='cuda:0')
tensor([1.1972], device='cuda:0')
tensor([1.2093], device='cuda:0')
tensor([1.1971], device='cuda:0')
tensor([1.1770], device='cuda:0')
tensor([1.1735], device='cuda:0')
tensor([1.1518], device='cuda:0')
tensor([1.1370], device='cuda:0')
tensor([1.1563], device='cuda:0')
tensor([1.1630], device='cuda:0')
tensor([1.1345], device='cuda:0')
tensor([1.1306], device='cuda:0')
tensor([1.1245], device='cuda:0')
tensor([1.1156], device='cuda:0')
tensor([1.1201], device='cuda:0')
tensor([1.1133], device='cuda:0')
tensor([1.1176], device='cuda:0')
tensor([1.1126], device='cuda:0')
tensor([1.1085], device='cuda:0')
tensor([1.0958], device='cuda:0')
tensor([1.0986], device='cuda:0')
tensor([1.1050], device='cuda:0')
tensor([1.1021], device='cuda:0')
tensor([1.0981], device='cuda:0')
tensor([1.0958], device='cuda:0')
tensor([1.1022], device='cuda:0')
tensor([1.0995], device='cuda:0')
tensor([1.0969], device='cuda:0')
tensor([1.0994], device='cuda:0')
tensor([1.1027], device='cuda:0')
tensor([1.0974], device='cuda:0')
tensor([1.0978], device='cuda:0')
tensor([1.0952], device='cuda:0')
tensor([1.0924], device='cuda:0')
tensor([1.0962], device='cuda:0')
tensor([1.0941], device='cuda:0')
tensor([1.0976], device='cuda:0')
tensor([1.0960], device='cuda:0')
tensor([1.0967], device='cuda:0')
tensor([1.0982], device='cuda:0')
tensor([1.0968], device='cuda:0')
tensor([1.1013], device='cuda:0')
tensor([1.1031], device='cuda:0')
tensor([1.0946], device='cuda:0')
tensor([1.0941], device='cuda:0')
tensor([1.0961], device='cuda:0')
tensor([1.1005], device='cuda:0')
tensor([1.0975], device='cuda:0')
tensor([1.0962], device='cuda:0')
tensor([1.1026], device='cuda:0')
tensor([1.1019], device='cuda:0')
tensor([1.1004], device='cuda:0')
tensor([1.0977], device='cuda:0')
tensor([1.0978], device='cuda:0')
tensor([1.0982], device='cuda:0')
tensor([1.0970], device='cuda:0')
tensor([1.0959], device='cuda:0')
tensor([1.0915], device='cuda:0')
tensor([1.0958], device='cuda:0')
tensor([1.1013], device='cuda:0')
tensor([1.1013], device='cuda:0')
tensor([1.1036], device='cuda:0')
tensor([1.1040], device='cuda:0')
tensor([1.0940], device='cuda:0')
tensor([1.0988], device='cuda:0')
tensor([1.0930], device='cuda:0')
tensor([1.0989], device='cuda:0')
tensor([1.0921], device='cuda:0')
tensor([1.0973], device='cuda:0')
tensor([1.1034], device='cuda:0')
tensor([1.1046], device='cuda:0')
tensor([1.0983], device='cuda:0')
tensor([1.0958], device='cuda:0')
tensor([1.0853], device='cuda:0')
tensor([1.0901], device='cuda:0')
tensor([1.0878], device='cuda:0')
tensor([1.0885], device='cuda:0')
tensor([1.0910], device='cuda:0')
tensor([1.0899], device='cuda:0')
tensor([1.0985], device='cuda:0')
tensor([1.1151], device='cuda:0')
tensor([1.1159], device='cuda:0')
tensor([1.1107], device='cuda:0')
tensor([1.1192], device='cuda:0')
tensor([1.1118], device='cuda:0')
tensor([1.1127], device='cuda:0')
tensor([1.1086], device='cuda:0')
tensor([1.1122], device='cuda:0')
tensor([1.1295], device='cuda:0')
tensor([1.1299], device='cuda:0')
tensor([1.1211], device='cuda:0')
tensor([1.1129], device='cuda:0')
tensor([1.1205], device='cuda:0')
tensor([1.1166], device='cuda:0')
tensor([1.1091], device='cuda:0')
tensor([1.1001], device='cuda:0')
tensor([1.1032], device='cuda:0')
