tensor([10.5285], device='cuda:0')
tensor([10.5432], device='cuda:0')
tensor([10.5266], device='cuda:0')
tensor([10.5208], device='cuda:0')
tensor([10.5173], device='cuda:0')
tensor([10.5173], device='cuda:0')
tensor([10.5173], device='cuda:0')
tensor([10.4518], device='cuda:0')
tensor([10.5011], device='cuda:0')
tensor([10.4142], device='cuda:0')
tensor([10.4173], device='cuda:0')
tensor([10.4347], device='cuda:0')
tensor([10.1499], device='cuda:0')
tensor([10.3768], device='cuda:0')
tensor([10.3390], device='cuda:0')
tensor([10.3070], device='cuda:0')
tensor([9.8495], device='cuda:0')
tensor([9.7379], device='cuda:0')
tensor([9.7757], device='cuda:0')
tensor([10.2920], device='cuda:0')
tensor([9.7388], device='cuda:0')
tensor([10.0156], device='cuda:0')
tensor([10.0035], device='cuda:0')
tensor([8.9390], device='cuda:0')
tensor([8.5537], device='cuda:0')
tensor([8.5483], device='cuda:0')
tensor([7.3707], device='cuda:0')
tensor([7.2795], device='cuda:0')
tensor([4.9103], device='cuda:0')
tensor([4.4367], device='cuda:0')
tensor([4.1354], device='cuda:0')
tensor([4.7631], device='cuda:0')
tensor([4.0915], device='cuda:0')
tensor([2.4413], device='cuda:0')
tensor([3.7845], device='cuda:0')
tensor([1.6017], device='cuda:0')
tensor([1.5788], device='cuda:0')
tensor([1.5788], device='cuda:0')
tensor([1.5788], device='cuda:0')
tensor([1.2168], device='cuda:0')
tensor([1.2168], device='cuda:0')
tensor([1.2168], device='cuda:0')
tensor([1.2204], device='cuda:0')
tensor([1.2164], device='cuda:0')
tensor([1.2116], device='cuda:0')
tensor([1.2048], device='cuda:0')
tensor([1.2014], device='cuda:0')
tensor([1.2014], device='cuda:0')
tensor([1.5469], device='cuda:0')
tensor([1.1769], device='cuda:0')
tensor([1.1800], device='cuda:0')
tensor([1.1703], device='cuda:0')
tensor([1.1608], device='cuda:0')
tensor([1.5104], device='cuda:0')
tensor([1.5104], device='cuda:0')
tensor([1.1561], device='cuda:0')
tensor([1.1496], device='cuda:0')
tensor([1.1460], device='cuda:0')
tensor([1.1539], device='cuda:0')
tensor([1.1500], device='cuda:0')
tensor([1.1438], device='cuda:0')
tensor([1.1413], device='cuda:0')
tensor([1.1458], device='cuda:0')
tensor([1.1433], device='cuda:0')
tensor([1.1477], device='cuda:0')
