tensor([32.8595], device='cuda:1')
tensor([32.8520], device='cuda:1')
tensor([32.8110], device='cuda:1')
tensor([32.8027], device='cuda:1')
tensor([32.8222], device='cuda:1')
tensor([32.8258], device='cuda:1')
tensor([32.8142], device='cuda:1')
tensor([32.8496], device='cuda:1')
tensor([32.7868], device='cuda:1')
tensor([32.8051], device='cuda:1')
tensor([32.7685], device='cuda:1')
tensor([32.5868], device='cuda:1')
tensor([32.5272], device='cuda:1')
tensor([32.7455], device='cuda:1')
tensor([32.6768], device='cuda:1')
tensor([32.6615], device='cuda:1')
tensor([32.4857], device='cuda:1')
tensor([32.6602], device='cuda:1')
tensor([32.3907], device='cuda:1')
tensor([32.6275], device='cuda:1')
tensor([32.5543], device='cuda:1')
tensor([32.5173], device='cuda:1')
tensor([32.5448], device='cuda:1')
tensor([32.5642], device='cuda:1')
tensor([32.4852], device='cuda:1')
tensor([32.4872], device='cuda:1')
tensor([32.4350], device='cuda:1')
tensor([32.4090], device='cuda:1')
tensor([32.3764], device='cuda:1')
tensor([32.1686], device='cuda:1')
tensor([32.4385], device='cuda:1')
tensor([32.4370], device='cuda:1')
tensor([32.3967], device='cuda:1')
tensor([32.2091], device='cuda:1')
tensor([32.1243], device='cuda:1')
tensor([32.3529], device='cuda:1')
tensor([32.3756], device='cuda:1')
tensor([32.3835], device='cuda:1')
tensor([32.3735], device='cuda:1')
tensor([32.1616], device='cuda:1')
tensor([32.1252], device='cuda:1')
tensor([32.1248], device='cuda:1')
tensor([32.0451], device='cuda:1')
tensor([32.0604], device='cuda:1')
tensor([32.2930], device='cuda:1')
tensor([32.2922], device='cuda:1')
tensor([32.2172], device='cuda:1')
tensor([31.8091], device='cuda:1')
tensor([31.9951], device='cuda:1')
tensor([31.9637], device='cuda:1')
tensor([31.9763], device='cuda:1')
tensor([31.7125], device='cuda:1')
tensor([30.9009], device='cuda:1')
tensor([31.6208], device='cuda:1')
tensor([31.0639], device='cuda:1')
tensor([31.3626], device='cuda:1')
tensor([30.8372], device='cuda:1')
tensor([31.0469], device='cuda:1')
tensor([30.9581], device='cuda:1')
tensor([30.9327], device='cuda:1')
tensor([30.9676], device='cuda:1')
tensor([30.6860], device='cuda:1')
tensor([30.9095], device='cuda:1')
tensor([30.6518], device='cuda:1')
tensor([29.6203], device='cuda:1')
tensor([28.8006], device='cuda:1')
tensor([30.0932], device='cuda:1')
tensor([30.3367], device='cuda:1')
tensor([30.1195], device='cuda:1')
tensor([29.4787], device='cuda:1')
tensor([29.5152], device='cuda:1')
tensor([29.5998], device='cuda:1')
tensor([27.9931], device='cuda:1')
tensor([28.4047], device='cuda:1')
tensor([27.1579], device='cuda:1')
tensor([27.2187], device='cuda:1')
tensor([26.8796], device='cuda:1')
tensor([27.2624], device='cuda:1')
tensor([26.6223], device='cuda:1')
tensor([26.5144], device='cuda:1')
tensor([25.9505], device='cuda:1')
tensor([24.0963], device='cuda:1')
tensor([24.4162], device='cuda:1')
tensor([21.4886], device='cuda:1')
tensor([21.5574], device='cuda:1')
tensor([19.5188], device='cuda:1')
tensor([15.0683], device='cuda:1')
tensor([12.0128], device='cuda:1')
tensor([10.7670], device='cuda:1')
tensor([8.8218], device='cuda:1')
tensor([8.2583], device='cuda:1')
tensor([7.1997], device='cuda:1')
tensor([5.6694], device='cuda:1')
tensor([3.7813], device='cuda:1')
tensor([3.4445], device='cuda:1')
tensor([3.0248], device='cuda:1')
tensor([2.6563], device='cuda:1')
tensor([2.6297], device='cuda:1')
tensor([2.6550], device='cuda:1')
tensor([2.6728], device='cuda:1')
tensor([2.6196], device='cuda:1')
tensor([2.6567], device='cuda:1')
tensor([2.6666], device='cuda:1')
tensor([2.6621], device='cuda:1')
