tensor([49.1296], device='cuda:0')
tensor([47.0104], device='cuda:0')
tensor([49.4786], device='cuda:0')
tensor([49.4473], device='cuda:0')
tensor([46.8299], device='cuda:0')
tensor([48.0892], device='cuda:0')
tensor([45.8759], device='cuda:0')
tensor([47.2653], device='cuda:0')
tensor([46.1770], device='cuda:0')
tensor([46.4609], device='cuda:0')
tensor([46.6862], device='cuda:0')
tensor([46.4209], device='cuda:0')
tensor([46.1808], device='cuda:0')
tensor([46.9987], device='cuda:0')
tensor([46.2402], device='cuda:0')
tensor([45.6223], device='cuda:0')
tensor([45.9108], device='cuda:0')
tensor([45.6273], device='cuda:0')
tensor([45.1244], device='cuda:0')
tensor([37.5953], device='cuda:0')
tensor([37.4949], device='cuda:0')
tensor([38.8258], device='cuda:0')
tensor([36.9432], device='cuda:0')
tensor([36.7215], device='cuda:0')
tensor([32.9626], device='cuda:0')
tensor([21.3589], device='cuda:0')
tensor([22.2580], device='cuda:0')
tensor([15.8505], device='cuda:0')
tensor([12.9549], device='cuda:0')
tensor([8.9494], device='cuda:0')
tensor([8.3252], device='cuda:0')
tensor([7.2118], device='cuda:0')
tensor([6.6432], device='cuda:0')
tensor([6.3655], device='cuda:0')
tensor([5.5591], device='cuda:0')
tensor([6.6478], device='cuda:0')
tensor([6.0961], device='cuda:0')
tensor([5.7950], device='cuda:0')
tensor([5.5552], device='cuda:0')
tensor([6.0911], device='cuda:0')
tensor([5.7998], device='cuda:0')
tensor([5.7328], device='cuda:0')
tensor([5.7568], device='cuda:0')
tensor([5.7177], device='cuda:0')
tensor([5.7811], device='cuda:0')
tensor([5.5389], device='cuda:0')
tensor([5.9871], device='cuda:0')
tensor([5.9926], device='cuda:0')
tensor([5.9922], device='cuda:0')
tensor([5.7959], device='cuda:0')
tensor([5.7550], device='cuda:0')
tensor([5.9978], device='cuda:0')
tensor([5.9910], device='cuda:0')
tensor([5.7077], device='cuda:0')
tensor([5.5151], device='cuda:0')
tensor([5.7316], device='cuda:0')
tensor([5.4976], device='cuda:0')
tensor([5.4531], device='cuda:0')
tensor([6.0272], device='cuda:0')
tensor([5.9955], device='cuda:0')
tensor([5.9535], device='cuda:0')
tensor([5.7462], device='cuda:0')
tensor([5.7766], device='cuda:0')
tensor([5.4728], device='cuda:0')
tensor([5.5112], device='cuda:0')
tensor([5.9955], device='cuda:0')
tensor([5.4827], device='cuda:0')
tensor([5.5280], device='cuda:0')
tensor([5.5685], device='cuda:0')
tensor([5.7641], device='cuda:0')
tensor([5.5332], device='cuda:0')
tensor([5.7257], device='cuda:0')
tensor([5.7731], device='cuda:0')
tensor([5.8069], device='cuda:0')
tensor([6.0454], device='cuda:0')
tensor([5.7459], device='cuda:0')
tensor([6.0467], device='cuda:0')
tensor([6.0426], device='cuda:0')
tensor([6.0336], device='cuda:0')
tensor([5.9862], device='cuda:0')
tensor([5.9902], device='cuda:0')
tensor([5.9839], device='cuda:0')
tensor([5.7801], device='cuda:0')
tensor([5.9908], device='cuda:0')
tensor([5.7473], device='cuda:0')
tensor([5.5199], device='cuda:0')
tensor([5.5027], device='cuda:0')
tensor([6.0405], device='cuda:0')
tensor([5.9829], device='cuda:0')
tensor([5.9940], device='cuda:0')
tensor([6.0003], device='cuda:0')
tensor([5.5111], device='cuda:0')
tensor([5.7409], device='cuda:0')
tensor([5.5440], device='cuda:0')
tensor([5.4951], device='cuda:0')
tensor([5.5419], device='cuda:0')
tensor([5.5452], device='cuda:0')
tensor([5.4651], device='cuda:0')
tensor([5.4963], device='cuda:0')
tensor([5.4736], device='cuda:0')
tensor([5.5431], device='cuda:0')
tensor([5.5163], device='cuda:0')
tensor([5.5221], device='cuda:0')
tensor([5.5236], device='cuda:0')
tensor([5.5221], device='cuda:0')
tensor([5.5356], device='cuda:0')
tensor([5.5379], device='cuda:0')
tensor([5.4597], device='cuda:0')
tensor([5.5639], device='cuda:0')
tensor([5.4651], device='cuda:0')
tensor([5.4670], device='cuda:0')
tensor([5.7268], device='cuda:0')
tensor([5.7299], device='cuda:0')
tensor([5.4826], device='cuda:0')
tensor([5.4700], device='cuda:0')
tensor([5.4403], device='cuda:0')
tensor([5.4837], device='cuda:0')
tensor([5.5004], device='cuda:0')
tensor([5.5116], device='cuda:0')
tensor([5.4700], device='cuda:0')
tensor([5.5157], device='cuda:0')
tensor([5.5640], device='cuda:0')
tensor([5.5596], device='cuda:0')
tensor([5.5231], device='cuda:0')
tensor([5.5886], device='cuda:0')
tensor([5.5563], device='cuda:0')
tensor([5.4971], device='cuda:0')
tensor([5.5447], device='cuda:0')
tensor([5.5405], device='cuda:0')
tensor([5.5434], device='cuda:0')
tensor([5.4988], device='cuda:0')
tensor([5.4568], device='cuda:0')
tensor([5.4793], device='cuda:0')
tensor([5.4955], device='cuda:0')
tensor([5.4735], device='cuda:0')
tensor([5.4627], device='cuda:0')
tensor([5.4446], device='cuda:0')
tensor([5.4904], device='cuda:0')
tensor([5.5013], device='cuda:0')
tensor([5.4964], device='cuda:0')
tensor([5.4617], device='cuda:0')
tensor([5.4186], device='cuda:0')
tensor([5.4054], device='cuda:0')
tensor([5.4246], device='cuda:0')
tensor([5.4260], device='cuda:0')
tensor([5.4444], device='cuda:0')
tensor([5.4359], device='cuda:0')
tensor([5.4561], device='cuda:0')
tensor([5.4732], device='cuda:0')
tensor([5.4255], device='cuda:0')
tensor([5.4196], device='cuda:0')
tensor([5.4423], device='cuda:0')
tensor([5.4362], device='cuda:0')
tensor([5.4659], device='cuda:0')
tensor([5.4574], device='cuda:0')
tensor([5.4409], device='cuda:0')
tensor([5.4376], device='cuda:0')
tensor([5.4415], device='cuda:0')
tensor([5.4341], device='cuda:0')
tensor([5.4437], device='cuda:0')
tensor([5.4427], device='cuda:0')
tensor([5.4642], device='cuda:0')
tensor([5.4386], device='cuda:0')
tensor([5.4490], device='cuda:0')
tensor([5.4525], device='cuda:0')
tensor([5.4496], device='cuda:0')
tensor([5.4585], device='cuda:0')
tensor([5.4431], device='cuda:0')
tensor([5.4654], device='cuda:0')
tensor([5.4424], device='cuda:0')
tensor([5.4403], device='cuda:0')
tensor([5.4455], device='cuda:0')
tensor([5.4537], device='cuda:0')
tensor([5.4343], device='cuda:0')
tensor([5.4152], device='cuda:0')
tensor([5.4184], device='cuda:0')
tensor([5.4229], device='cuda:0')
tensor([5.4127], device='cuda:0')
tensor([5.4179], device='cuda:0')
tensor([5.4230], device='cuda:0')
tensor([5.4212], device='cuda:0')
tensor([5.4126], device='cuda:0')
tensor([5.4242], device='cuda:0')
tensor([5.4247], device='cuda:0')
tensor([5.4167], device='cuda:0')
tensor([5.4403], device='cuda:0')
tensor([5.4154], device='cuda:0')
tensor([5.4212], device='cuda:0')
tensor([5.4314], device='cuda:0')
tensor([5.4054], device='cuda:0')
tensor([5.4305], device='cuda:0')
tensor([5.4237], device='cuda:0')
tensor([5.4200], device='cuda:0')
tensor([5.4177], device='cuda:0')
tensor([5.4213], device='cuda:0')
tensor([5.4257], device='cuda:0')
tensor([5.4294], device='cuda:0')
tensor([5.4274], device='cuda:0')
tensor([5.4191], device='cuda:0')
tensor([5.4255], device='cuda:0')
tensor([5.4237], device='cuda:0')
tensor([5.4290], device='cuda:0')
tensor([5.4250], device='cuda:0')
tensor([5.4290], device='cuda:0')
tensor([5.4653], device='cuda:0')
tensor([5.4295], device='cuda:0')
tensor([5.4189], device='cuda:0')
tensor([5.4214], device='cuda:0')
tensor([5.4269], device='cuda:0')
tensor([5.4278], device='cuda:0')
tensor([5.4230], device='cuda:0')
tensor([5.4162], device='cuda:0')
tensor([5.4343], device='cuda:0')
tensor([5.4199], device='cuda:0')
tensor([5.4293], device='cuda:0')
tensor([5.4242], device='cuda:0')
tensor([5.4399], device='cuda:0')
tensor([5.4180], device='cuda:0')
tensor([5.4130], device='cuda:0')
tensor([5.4191], device='cuda:0')
tensor([5.4138], device='cuda:0')
tensor([5.4186], device='cuda:0')
tensor([5.4186], device='cuda:0')
tensor([5.4357], device='cuda:0')
tensor([5.4403], device='cuda:0')
tensor([5.4536], device='cuda:0')
tensor([5.4288], device='cuda:0')
tensor([5.4415], device='cuda:0')
tensor([5.4254], device='cuda:0')
tensor([5.4235], device='cuda:0')
tensor([5.4240], device='cuda:0')
tensor([5.4486], device='cuda:0')
tensor([5.4164], device='cuda:0')
tensor([5.4163], device='cuda:0')
tensor([5.4234], device='cuda:0')
tensor([5.4270], device='cuda:0')
tensor([5.4242], device='cuda:0')
tensor([5.4054], device='cuda:0')
tensor([5.4186], device='cuda:0')
tensor([5.4206], device='cuda:0')
tensor([5.4376], device='cuda:0')
tensor([5.4141], device='cuda:0')
tensor([5.4268], device='cuda:0')
tensor([5.4024], device='cuda:0')
tensor([5.4144], device='cuda:0')
tensor([5.4075], device='cuda:0')
tensor([5.4074], device='cuda:0')
tensor([5.4193], device='cuda:0')
tensor([5.4159], device='cuda:0')
tensor([5.4089], device='cuda:0')
tensor([5.4072], device='cuda:0')
tensor([5.4310], device='cuda:0')
tensor([5.4113], device='cuda:0')
tensor([5.4052], device='cuda:0')
tensor([5.4246], device='cuda:0')
tensor([5.4093], device='cuda:0')
tensor([5.4290], device='cuda:0')
tensor([5.4061], device='cuda:0')
tensor([5.4040], device='cuda:0')
tensor([5.4156], device='cuda:0')
tensor([5.4143], device='cuda:0')
tensor([5.4248], device='cuda:0')
tensor([5.4151], device='cuda:0')
tensor([5.3980], device='cuda:0')
tensor([5.4134], device='cuda:0')
tensor([5.4059], device='cuda:0')
tensor([5.4230], device='cuda:0')
tensor([5.4041], device='cuda:0')
tensor([5.4166], device='cuda:0')
tensor([5.4181], device='cuda:0')
tensor([5.3946], device='cuda:0')
tensor([5.4110], device='cuda:0')
tensor([5.4007], device='cuda:0')
tensor([5.4283], device='cuda:0')
tensor([5.4157], device='cuda:0')
tensor([5.4123], device='cuda:0')
tensor([5.4002], device='cuda:0')
tensor([5.4065], device='cuda:0')
tensor([5.4064], device='cuda:0')
tensor([5.4048], device='cuda:0')
tensor([5.3975], device='cuda:0')
tensor([5.3993], device='cuda:0')
tensor([5.3964], device='cuda:0')
tensor([5.4031], device='cuda:0')
tensor([5.4058], device='cuda:0')
tensor([5.3904], device='cuda:0')
tensor([5.3917], device='cuda:0')
tensor([5.3979], device='cuda:0')
tensor([5.3924], device='cuda:0')
tensor([5.3981], device='cuda:0')
tensor([5.3816], device='cuda:0')
tensor([5.3937], device='cuda:0')
tensor([5.3911], device='cuda:0')
tensor([5.3877], device='cuda:0')
tensor([5.4340], device='cuda:0')
tensor([5.4296], device='cuda:0')
tensor([5.4194], device='cuda:0')
tensor([5.4264], device='cuda:0')
tensor([5.4129], device='cuda:0')
tensor([5.4262], device='cuda:0')
tensor([5.4086], device='cuda:0')
tensor([5.3986], device='cuda:0')
tensor([5.4056], device='cuda:0')
tensor([5.4078], device='cuda:0')
tensor([5.3983], device='cuda:0')
tensor([5.4148], device='cuda:0')
tensor([5.4164], device='cuda:0')
tensor([5.4143], device='cuda:0')
tensor([5.3972], device='cuda:0')
tensor([5.3913], device='cuda:0')
tensor([5.4142], device='cuda:0')
tensor([5.4150], device='cuda:0')
tensor([5.3964], device='cuda:0')
tensor([5.4027], device='cuda:0')
tensor([5.4037], device='cuda:0')
tensor([5.3830], device='cuda:0')
tensor([5.4090], device='cuda:0')
tensor([5.4003], device='cuda:0')
tensor([5.3914], device='cuda:0')
tensor([5.4022], device='cuda:0')
tensor([5.4117], device='cuda:0')
tensor([5.4124], device='cuda:0')
tensor([5.4059], device='cuda:0')
tensor([5.4065], device='cuda:0')
tensor([5.4212], device='cuda:0')
tensor([5.4090], device='cuda:0')
tensor([5.4126], device='cuda:0')
tensor([5.4001], device='cuda:0')
tensor([5.4147], device='cuda:0')
tensor([5.4039], device='cuda:0')
tensor([5.4115], device='cuda:0')
tensor([5.4187], device='cuda:0')
tensor([5.4119], device='cuda:0')
tensor([5.4156], device='cuda:0')
tensor([5.4050], device='cuda:0')
tensor([5.4236], device='cuda:0')
tensor([5.4295], device='cuda:0')
tensor([5.4434], device='cuda:0')
tensor([5.4223], device='cuda:0')
tensor([5.4234], device='cuda:0')
tensor([5.4221], device='cuda:0')
tensor([5.4204], device='cuda:0')
tensor([5.4182], device='cuda:0')
tensor([5.4103], device='cuda:0')
tensor([5.4032], device='cuda:0')
tensor([5.4012], device='cuda:0')
tensor([5.4121], device='cuda:0')
tensor([5.4066], device='cuda:0')
tensor([5.3960], device='cuda:0')
tensor([5.4116], device='cuda:0')
tensor([5.4127], device='cuda:0')
tensor([5.3991], device='cuda:0')
tensor([5.3967], device='cuda:0')
tensor([5.4008], device='cuda:0')
tensor([5.4031], device='cuda:0')
tensor([5.4000], device='cuda:0')
tensor([5.4027], device='cuda:0')
tensor([5.4084], device='cuda:0')
tensor([5.4058], device='cuda:0')
tensor([5.4063], device='cuda:0')
tensor([5.4097], device='cuda:0')
tensor([5.4113], device='cuda:0')
tensor([5.3971], device='cuda:0')
tensor([5.4179], device='cuda:0')
tensor([5.4014], device='cuda:0')
tensor([5.4133], device='cuda:0')
