tensor([2.2524], device='cuda:0')
tensor([2.6817], device='cuda:0')
tensor([2.0581], device='cuda:0')
tensor([1.8759], device='cuda:0')
tensor([1.8270], device='cuda:0')
tensor([2.6498], device='cuda:0')
tensor([1.9714], device='cuda:0')
tensor([1.6944], device='cuda:0')
tensor([2.7283], device='cuda:0')
tensor([2.6607], device='cuda:0')
tensor([2.5511], device='cuda:0')
tensor([2.6322], device='cuda:0')
tensor([2.6326], device='cuda:0')
tensor([2.5745], device='cuda:0')
tensor([2.5220], device='cuda:0')
tensor([2.5531], device='cuda:0')
tensor([2.5545], device='cuda:0')
tensor([2.5630], device='cuda:0')
tensor([2.5304], device='cuda:0')
tensor([2.5019], device='cuda:0')
tensor([2.5872], device='cuda:0')
tensor([2.5002], device='cuda:0')
tensor([2.4651], device='cuda:0')
tensor([2.4538], device='cuda:0')
tensor([2.4723], device='cuda:0')
tensor([2.3791], device='cuda:0')
tensor([2.4192], device='cuda:0')
tensor([2.3844], device='cuda:0')
tensor([2.3817], device='cuda:0')
tensor([2.3990], device='cuda:0')
tensor([2.3416], device='cuda:0')
tensor([2.3390], device='cuda:0')
tensor([2.3383], device='cuda:0')
tensor([2.3052], device='cuda:0')
tensor([2.2342], device='cuda:0')
tensor([2.2841], device='cuda:0')
tensor([2.2751], device='cuda:0')
tensor([2.2127], device='cuda:0')
tensor([2.1051], device='cuda:0')
tensor([2.1555], device='cuda:0')
tensor([2.0976], device='cuda:0')
tensor([2.1003], device='cuda:0')
tensor([2.0596], device='cuda:0')
tensor([2.0632], device='cuda:0')
tensor([2.0133], device='cuda:0')
tensor([2.0298], device='cuda:0')
tensor([1.9170], device='cuda:0')
tensor([1.9219], device='cuda:0')
tensor([1.8584], device='cuda:0')
tensor([1.9006], device='cuda:0')
tensor([1.8670], device='cuda:0')
tensor([1.8297], device='cuda:0')
tensor([1.7682], device='cuda:0')
tensor([1.8053], device='cuda:0')
tensor([1.8190], device='cuda:0')
tensor([1.7767], device='cuda:0')
tensor([1.7753], device='cuda:0')
tensor([1.7903], device='cuda:0')
tensor([1.7066], device='cuda:0')
tensor([1.6700], device='cuda:0')
tensor([1.6768], device='cuda:0')
tensor([1.6440], device='cuda:0')
tensor([1.6516], device='cuda:0')
tensor([1.6400], device='cuda:0')
tensor([1.6301], device='cuda:0')
tensor([1.6228], device='cuda:0')
tensor([1.6380], device='cuda:0')
tensor([1.6372], device='cuda:0')
tensor([1.6036], device='cuda:0')
tensor([1.6533], device='cuda:0')
tensor([1.6064], device='cuda:0')
tensor([1.5709], device='cuda:0')
tensor([1.5849], device='cuda:0')
tensor([1.5623], device='cuda:0')
tensor([1.5608], device='cuda:0')
tensor([1.6053], device='cuda:0')
tensor([1.5675], device='cuda:0')
tensor([1.5628], device='cuda:0')
tensor([1.5678], device='cuda:0')
tensor([1.5839], device='cuda:0')
tensor([1.5707], device='cuda:0')
tensor([1.5717], device='cuda:0')
tensor([1.5504], device='cuda:0')
tensor([1.5792], device='cuda:0')
tensor([1.5534], device='cuda:0')
tensor([1.5642], device='cuda:0')
tensor([1.5612], device='cuda:0')
tensor([1.5658], device='cuda:0')
tensor([1.5787], device='cuda:0')
tensor([1.5738], device='cuda:0')
tensor([1.5618], device='cuda:0')
tensor([1.5580], device='cuda:0')
tensor([1.5501], device='cuda:0')
tensor([1.5589], device='cuda:0')
tensor([1.5633], device='cuda:0')
tensor([1.5717], device='cuda:0')
tensor([1.5404], device='cuda:0')
tensor([1.5433], device='cuda:0')
tensor([1.5531], device='cuda:0')
tensor([1.5395], device='cuda:0')
tensor([1.5445], device='cuda:0')
tensor([1.5455], device='cuda:0')
tensor([1.5476], device='cuda:0')
tensor([1.5286], device='cuda:0')
tensor([1.5338], device='cuda:0')
tensor([1.5214], device='cuda:0')
tensor([1.5268], device='cuda:0')
tensor([1.5168], device='cuda:0')
tensor([1.5178], device='cuda:0')
tensor([1.5177], device='cuda:0')
tensor([1.5096], device='cuda:0')
tensor([1.5055], device='cuda:0')
tensor([1.5016], device='cuda:0')
tensor([1.5142], device='cuda:0')
tensor([1.5153], device='cuda:0')
tensor([1.5002], device='cuda:0')
tensor([1.4987], device='cuda:0')
tensor([1.4975], device='cuda:0')
tensor([1.4981], device='cuda:0')
tensor([1.4993], device='cuda:0')
tensor([1.5011], device='cuda:0')
tensor([1.5029], device='cuda:0')
tensor([1.4966], device='cuda:0')
tensor([1.4924], device='cuda:0')
tensor([1.4887], device='cuda:0')
tensor([1.4872], device='cuda:0')
tensor([1.4851], device='cuda:0')
tensor([1.4923], device='cuda:0')
tensor([1.4766], device='cuda:0')
tensor([1.4791], device='cuda:0')
tensor([1.4845], device='cuda:0')
tensor([1.4838], device='cuda:0')
tensor([1.4816], device='cuda:0')
tensor([1.4799], device='cuda:0')
tensor([1.4789], device='cuda:0')
tensor([1.4858], device='cuda:0')
tensor([1.4828], device='cuda:0')
tensor([1.4840], device='cuda:0')
tensor([1.4841], device='cuda:0')
tensor([1.4914], device='cuda:0')
tensor([1.4868], device='cuda:0')
tensor([1.4779], device='cuda:0')
tensor([1.4852], device='cuda:0')
tensor([1.4756], device='cuda:0')
tensor([1.4796], device='cuda:0')
tensor([1.4749], device='cuda:0')
tensor([1.4751], device='cuda:0')
tensor([1.4694], device='cuda:0')
tensor([1.4711], device='cuda:0')
tensor([1.4760], device='cuda:0')
tensor([1.4708], device='cuda:0')
tensor([1.4805], device='cuda:0')
tensor([1.4700], device='cuda:0')
tensor([1.4701], device='cuda:0')
tensor([1.4698], device='cuda:0')
tensor([1.4616], device='cuda:0')
tensor([1.4678], device='cuda:0')
tensor([1.4689], device='cuda:0')
tensor([1.4659], device='cuda:0')
tensor([1.4649], device='cuda:0')
tensor([1.4680], device='cuda:0')
tensor([1.4717], device='cuda:0')
tensor([1.4717], device='cuda:0')
tensor([1.4757], device='cuda:0')
tensor([1.4739], device='cuda:0')
tensor([1.4651], device='cuda:0')
tensor([1.4650], device='cuda:0')
tensor([1.4803], device='cuda:0')
tensor([1.4639], device='cuda:0')
tensor([1.4698], device='cuda:0')
tensor([1.4727], device='cuda:0')
tensor([1.4699], device='cuda:0')
tensor([1.4713], device='cuda:0')
tensor([1.4643], device='cuda:0')
tensor([1.4621], device='cuda:0')
tensor([1.4625], device='cuda:0')
tensor([1.4728], device='cuda:0')
tensor([1.4649], device='cuda:0')
tensor([1.4718], device='cuda:0')
tensor([1.4616], device='cuda:0')
tensor([1.4697], device='cuda:0')
tensor([1.4583], device='cuda:0')
tensor([1.4720], device='cuda:0')
tensor([1.4662], device='cuda:0')
tensor([1.4626], device='cuda:0')
tensor([1.4613], device='cuda:0')
tensor([1.4650], device='cuda:0')
tensor([1.4651], device='cuda:0')
tensor([1.4694], device='cuda:0')
tensor([1.4731], device='cuda:0')
tensor([1.4695], device='cuda:0')
tensor([1.4657], device='cuda:0')
tensor([1.4666], device='cuda:0')
tensor([1.4664], device='cuda:0')
tensor([1.4708], device='cuda:0')
tensor([1.4629], device='cuda:0')
tensor([1.4684], device='cuda:0')
tensor([1.4670], device='cuda:0')
tensor([1.4718], device='cuda:0')
tensor([1.4677], device='cuda:0')
tensor([1.4687], device='cuda:0')
tensor([1.4646], device='cuda:0')
tensor([1.4592], device='cuda:0')
tensor([1.4715], device='cuda:0')
tensor([1.4741], device='cuda:0')
tensor([1.4626], device='cuda:0')
tensor([1.4665], device='cuda:0')
tensor([1.4656], device='cuda:0')
tensor([1.4629], device='cuda:0')
tensor([1.4672], device='cuda:0')
tensor([1.4652], device='cuda:0')
tensor([1.4643], device='cuda:0')
tensor([1.4610], device='cuda:0')
tensor([1.4634], device='cuda:0')
tensor([1.4595], device='cuda:0')
tensor([1.4634], device='cuda:0')
tensor([1.4613], device='cuda:0')
tensor([1.4572], device='cuda:0')
tensor([1.4670], device='cuda:0')
tensor([1.4597], device='cuda:0')
tensor([1.4609], device='cuda:0')
tensor([1.4554], device='cuda:0')
tensor([1.4642], device='cuda:0')
tensor([1.4588], device='cuda:0')
tensor([1.4595], device='cuda:0')
tensor([1.4600], device='cuda:0')
tensor([1.4669], device='cuda:0')
tensor([1.4608], device='cuda:0')
tensor([1.4682], device='cuda:0')
tensor([1.4565], device='cuda:0')
tensor([1.4625], device='cuda:0')
tensor([1.4573], device='cuda:0')
tensor([1.4608], device='cuda:0')
tensor([1.4607], device='cuda:0')
tensor([1.4608], device='cuda:0')
tensor([1.4634], device='cuda:0')
tensor([1.4619], device='cuda:0')
tensor([1.4620], device='cuda:0')
tensor([1.4565], device='cuda:0')
tensor([1.4611], device='cuda:0')
tensor([1.4578], device='cuda:0')
tensor([1.4584], device='cuda:0')
tensor([1.4547], device='cuda:0')
tensor([1.4553], device='cuda:0')
tensor([1.4552], device='cuda:0')
tensor([1.4623], device='cuda:0')
tensor([1.4554], device='cuda:0')
tensor([1.4598], device='cuda:0')
tensor([1.4592], device='cuda:0')
tensor([1.4551], device='cuda:0')
tensor([1.4575], device='cuda:0')
tensor([1.4624], device='cuda:0')
tensor([1.4527], device='cuda:0')
tensor([1.4593], device='cuda:0')
tensor([1.4617], device='cuda:0')
tensor([1.4645], device='cuda:0')
tensor([1.4585], device='cuda:0')
tensor([1.4591], device='cuda:0')
tensor([1.4552], device='cuda:0')
tensor([1.4565], device='cuda:0')
tensor([1.4591], device='cuda:0')
tensor([1.4553], device='cuda:0')
tensor([1.4540], device='cuda:0')
tensor([1.4565], device='cuda:0')
tensor([1.4588], device='cuda:0')
tensor([1.4547], device='cuda:0')
tensor([1.4614], device='cuda:0')
tensor([1.4575], device='cuda:0')
tensor([1.4613], device='cuda:0')
tensor([1.4556], device='cuda:0')
tensor([1.4528], device='cuda:0')
tensor([1.4544], device='cuda:0')
tensor([1.4579], device='cuda:0')
tensor([1.4546], device='cuda:0')
tensor([1.4606], device='cuda:0')
tensor([1.4643], device='cuda:0')
tensor([1.4567], device='cuda:0')
tensor([1.4589], device='cuda:0')
tensor([1.4537], device='cuda:0')
tensor([1.4568], device='cuda:0')
tensor([1.4551], device='cuda:0')
tensor([1.4574], device='cuda:0')
tensor([1.4549], device='cuda:0')
tensor([1.4537], device='cuda:0')
tensor([1.4617], device='cuda:0')
tensor([1.4609], device='cuda:0')
tensor([1.4579], device='cuda:0')
tensor([1.4547], device='cuda:0')
tensor([1.4509], device='cuda:0')
tensor([1.4526], device='cuda:0')
tensor([1.4508], device='cuda:0')
tensor([1.4499], device='cuda:0')
tensor([1.4515], device='cuda:0')
tensor([1.4527], device='cuda:0')
tensor([1.4552], device='cuda:0')
tensor([1.4543], device='cuda:0')
tensor([1.4561], device='cuda:0')
tensor([1.4542], device='cuda:0')
tensor([1.4511], device='cuda:0')
tensor([1.4477], device='cuda:0')
tensor([1.4437], device='cuda:0')
tensor([1.4510], device='cuda:0')
tensor([1.4534], device='cuda:0')
tensor([1.4516], device='cuda:0')
tensor([1.4556], device='cuda:0')
tensor([1.4586], device='cuda:0')
tensor([1.4567], device='cuda:0')
tensor([1.4527], device='cuda:0')
tensor([1.4496], device='cuda:0')
tensor([1.4548], device='cuda:0')
