tensor([66.1505], device='cuda:0')
tensor([66.1513], device='cuda:0')
tensor([66.1509], device='cuda:0')
tensor([59.9684], device='cuda:0')
tensor([59.9684], device='cuda:0')
tensor([60.0163], device='cuda:0')
tensor([60.0163], device='cuda:0')
tensor([59.9686], device='cuda:0')
tensor([59.9680], device='cuda:0')
tensor([59.9678], device='cuda:0')
tensor([59.9680], device='cuda:0')
tensor([59.9684], device='cuda:0')
tensor([59.9686], device='cuda:0')
tensor([60.0399], device='cuda:0')
tensor([60.0399], device='cuda:0')
tensor([60.0399], device='cuda:0')
tensor([60.0399], device='cuda:0')
tensor([60.0399], device='cuda:0')
tensor([60.0237], device='cuda:0')
tensor([66.2127], device='cuda:0')
tensor([66.2879], device='cuda:0')
tensor([66.2879], device='cuda:0')
tensor([66.2960], device='cuda:0')
tensor([66.2960], device='cuda:0')
tensor([60.0942], device='cuda:0')
tensor([60.0984], device='cuda:0')
tensor([60.1110], device='cuda:0')
tensor([60.1110], device='cuda:0')
tensor([60.1110], device='cuda:0')
tensor([60.1219], device='cuda:0')
tensor([66.2993], device='cuda:0')
tensor([66.2993], device='cuda:0')
tensor([66.3121], device='cuda:0')
tensor([60.1538], device='cuda:0')
tensor([60.1660], device='cuda:0')
tensor([60.1660], device='cuda:0')
tensor([60.1660], device='cuda:0')
tensor([60.1660], device='cuda:0')
tensor([60.1532], device='cuda:0')
tensor([60.1654], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([60.1372], device='cuda:0')
tensor([60.1351], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([60.1374], device='cuda:0')
tensor([60.1689], device='cuda:0')
tensor([60.1689], device='cuda:0')
tensor([60.1689], device='cuda:0')
tensor([60.1320], device='cuda:0')
tensor([60.1320], device='cuda:0')
tensor([60.1320], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([60.1353], device='cuda:0')
tensor([53.9484], device='cuda:0')
tensor([53.9486], device='cuda:0')
tensor([53.9846], device='cuda:0')
tensor([53.9846], device='cuda:0')
tensor([53.9703], device='cuda:0')
tensor([53.9703], device='cuda:0')
tensor([53.9703], device='cuda:0')
tensor([53.9690], device='cuda:0')
tensor([53.9647], device='cuda:0')
tensor([53.9826], device='cuda:0')
tensor([53.9768], device='cuda:0')
tensor([53.9826], device='cuda:0')
tensor([53.9826], device='cuda:0')
tensor([53.9826], device='cuda:0')
tensor([60.1617], device='cuda:0')
tensor([60.1687], device='cuda:0')
tensor([60.1681], device='cuda:0')
tensor([60.1627], device='cuda:0')
tensor([60.1699], device='cuda:0')
tensor([60.1967], device='cuda:0')
tensor([60.1969], device='cuda:0')
tensor([60.1967], device='cuda:0')
tensor([60.1967], device='cuda:0')
tensor([60.1897], device='cuda:0')
tensor([60.1897], device='cuda:0')
tensor([60.1897], device='cuda:0')
tensor([60.1897], device='cuda:0')
tensor([60.1381], device='cuda:0')
tensor([60.1375], device='cuda:0')
tensor([60.1709], device='cuda:0')
tensor([60.1375], device='cuda:0')
tensor([60.1776], device='cuda:0')
tensor([66.3521], device='cuda:0')
tensor([66.3521], device='cuda:0')
tensor([60.1776], device='cuda:0')
tensor([60.1707], device='cuda:0')
tensor([66.3597], device='cuda:0')
tensor([66.3597], device='cuda:0')
tensor([66.3597], device='cuda:0')
tensor([66.3351], device='cuda:0')
tensor([66.3554], device='cuda:0')
tensor([66.3595], device='cuda:0')
tensor([66.3595], device='cuda:0')
tensor([66.3595], device='cuda:0')
tensor([66.3560], device='cuda:0')
tensor([66.3560], device='cuda:0')
tensor([66.3561], device='cuda:0')
tensor([66.3489], device='cuda:0')
tensor([66.3520], device='cuda:0')
tensor([66.3520], device='cuda:0')
tensor([66.3542], device='cuda:0')
tensor([66.3389], device='cuda:0')
tensor([66.3392], device='cuda:0')
tensor([66.3392], device='cuda:0')
tensor([66.3392], device='cuda:0')
tensor([66.3365], device='cuda:0')
tensor([66.3365], device='cuda:0')
tensor([66.3365], device='cuda:0')
tensor([66.3377], device='cuda:0')
tensor([66.3377], device='cuda:0')
tensor([66.3345], device='cuda:0')
tensor([66.3579], device='cuda:0')
tensor([66.3364], device='cuda:0')
tensor([66.3367], device='cuda:0')
